"<1741028057375>",-0.1059759,0.77382034,0.17907135,0.59825116,-4.510827,0.6236353,-0.1268371
"<1741028057408>",-0.10393162,0.7705291,0.17712867,0.60341394,-4.5131197,0.6244625,-0.13008901
"<1741028057442>",-0.10288834,0.76692885,0.17552903,0.60862434,-4.51524,0.6261416,-0.13281177
"<1741028057475>",-0.10241054,0.76361626,0.17401046,0.61328816,-4.5167203,0.62760186,-0.13619688
"<1741028057508>",-0.102093965,0.76094055,0.17313546,0.6169038,-4.518569,0.6293669,-0.13902724
"<1741028057542>",-0.102038786,0.75817937,0.1713985,0.6207854,-4.520326,0.6312423,-0.14166924
"<1741028057575>",-0.10189439,0.7554232,0.16826351,0.6250125,-4.521504,0.6326133,-0.14476569
"<1741028057608>",-0.10152959,0.7527602,0.16631317,0.6287954,-4.5227017,0.6341486,-0.1473008
"<1741028057642>",-0.101197824,0.75018734,0.16524872,0.6321951,-4.523881,0.6355568,-0.14951365
"<1741028057675>",-0.1006371,0.74799234,0.16381066,0.6352524,-4.5239086,0.637136,-0.15242779
"<1741028057708>",-0.09973402,0.74601024,0.16227332,0.6381137,-4.524595,0.6383534,-0.15440653
"<1741028057742>",-0.09880944,0.7441105,0.16047736,0.6409236,-4.525201,0.639671,-0.15612106
"<1741028057775>",-0.098179825,0.7425746,0.1587856,0.643219,-4.525859,0.6411836,-0.1583536
"<1741028057809>",-0.09728789,0.7417551,0.15700933,0.6447344,-4.5263376,0.64300585,-0.16001648
"<1741028057842>",-0.09642947,0.7408039,0.15567209,0.6462793,-4.5268283,0.64510864,-0.16110043
"<1741028057875>",-0.09490202,0.7400234,0.15392223,0.64781696,-4.5275135,0.6474823,-0.16266033
"<1741028057909>",-0.09222426,0.7390443,0.1515389,0.64987993,-4.5276504,0.65001655,-0.16363443
"<1741028057942>",-0.08898078,0.73799974,0.14946833,0.65199536,-4.5275273,0.6527368,-0.16410807
"<1741028057975>",-0.08481754,0.7374121,0.14758886,0.6536411,-4.5272226,0.65554273,-0.16436262
"<1741028058009>",-0.0807044,0.7367406,0.14569569,0.6553416,-4.5268526,0.6583284,-0.16452794
"<1741028058042>",-0.076808855,0.7364939,0.1437083,0.65652484,-4.526523,0.66142136,-0.16471867
"<1741028058075>",-0.07338242,0.7365202,0.1419871,0.6572613,-4.526315,0.6644954,-0.16474186
"<1741028058109>",-0.07050488,0.73620677,0.13974263,0.65840757,-4.526128,0.6674969,-0.16463959
"<1741028058142>",-0.06832732,0.7358496,0.13730867,0.65954745,-4.526009,0.6708158,-0.1650222
"<1741028058176>",-0.066328846,0.7358005,0.13486402,0.6603102,-4.5252166,0.67322206,-0.1647077
